process_execution_id,order_id,start_time,end_time,part_id,process_type,process_id,resource_id,is_valid,duration
0,298,2024-01-05 08:31:00,2024-01-05 08:31:15,0,0,0,0,1,15.0
1,298,2024-01-05 08:31:15,2024-01-05 08:31:55,1,0,1,1,1,40.0
2,298,2024-01-05 08:31:55,2024-01-05 08:32:51,1,0,2,1,1,56.0
3,298,2024-01-05 08:32:51,2024-01-05 08:33:05,1,0,3,1,1,14.0
4,298,2024-01-05 08:33:05,2024-01-05 08:33:48,1,0,4,1,1,43.0
5,298,2024-01-05 08:33:48,2024-01-05 08:34:45,1,0,5,1,1,57.0
6,298,2024-01-05 08:34:45,2024-01-05 08:35:23,1,0,6,1,1,38.0
7,298,2024-01-05 08:35:23,2024-01-05 08:35:25,3,1,7,2,1,2.0
8,298,2024-01-05 08:35:25,2024-01-05 08:35:57,4,0,8,3,1,32.0
9,298,2024-01-05 08:35:57,2024-01-05 08:36:58,3,0,9,3,1,61.0
10,298,2024-01-05 08:36:58,2024-01-05 08:37:18,4,0,10,3,1,20.0
11,298,2024-01-05 08:37:18,2024-01-05 08:38:01,4,0,11,3,1,43.0
12,298,2024-01-05 08:38:01,2024-01-05 08:38:46,3,1,12,4,1,45.0
13,298,2024-01-05 08:38:46,2024-01-05 08:38:55,5,1,13,4,1,9.0
14,298,2024-01-05 08:38:55,2024-01-05 08:39:25,6,0,14,5,1,30.0
15,298,2024-01-05 08:39:25,2024-01-05 08:40:46,6,0,15,5,1,81.0
16,298,2024-01-05 08:40:46,2024-01-05 08:41:03,6,0,16,5,1,17.0
17,298,2024-01-05 08:41:03,2024-01-05 08:41:28,2,1,17,6,1,25.0
18,298,2024-01-05 08:41:28,2024-01-05 08:42:02,8,1,18,6,1,34.0
19,298,2024-01-05 08:42:02,2024-01-05 08:43:04,3,1,19,6,1,62.0
20,298,2024-01-05 08:43:04,2024-01-05 08:43:09,5,1,20,6,1,5.0
21,298,2024-01-05 08:43:09,2024-01-05 08:43:17,-1,-1,21,7,1,8.0
22,298,2024-01-05 08:43:17,2024-01-05 08:43:27,-1,2,22,8,1,10.0
23,298,2024-01-05 08:43:27,2024-01-05 08:43:46,0,0,23,0,1,19.0
24,300,2024-01-06 08:31:00,2024-01-06 08:31:15,0,0,0,0,1,15.0
25,300,2024-01-06 08:31:15,2024-01-06 08:31:55,1,0,1,1,1,40.0
26,300,2024-01-06 08:31:55,2024-01-06 08:32:51,1,0,2,1,1,56.0
27,300,2024-01-06 08:32:51,2024-01-06 08:33:05,1,0,3,1,1,14.0
28,300,2024-01-06 08:33:05,2024-01-06 08:33:48,1,0,4,1,1,43.0
29,300,2024-01-06 08:33:48,2024-01-06 08:34:45,1,0,5,1,1,57.0
30,300,2024-01-06 08:34:45,2024-01-06 08:35:23,1,0,6,1,1,38.0
31,300,2024-01-06 08:35:23,2024-01-06 08:35:25,3,1,7,2,1,2.0
32,300,2024-01-06 08:35:25,2024-01-06 08:35:57,4,0,8,3,1,32.0
33,300,2024-01-06 08:35:57,2024-01-06 08:36:58,3,0,9,3,1,61.0
34,300,2024-01-06 08:36:58,2024-01-06 08:37:18,4,0,10,3,1,20.0
35,300,2024-01-06 08:37:18,2024-01-06 08:38:01,4,0,11,3,1,43.0
36,300,2024-01-06 08:38:01,2024-01-06 08:38:46,3,1,12,4,1,45.0
37,300,2024-01-06 08:38:46,2024-01-06 08:38:55,5,1,13,4,1,9.0
38,300,2024-01-06 08:38:55,2024-01-06 08:39:25,6,0,14,5,1,30.0
39,300,2024-01-06 08:39:25,2024-01-06 08:40:46,6,0,15,5,1,81.0
40,300,2024-01-06 08:40:46,2024-01-06 08:41:03,6,0,16,5,1,17.0
41,300,2024-01-06 08:41:03,2024-01-06 08:41:28,2,1,17,6,1,25.0
42,300,2024-01-06 08:41:28,2024-01-06 08:42:02,8,1,18,6,1,34.0
43,300,2024-01-06 08:42:02,2024-01-06 08:43:04,3,1,19,6,1,62.0
44,300,2024-01-06 08:43:04,2024-01-06 08:43:09,5,1,20,6,1,5.0
45,300,2024-01-06 08:43:09,2024-01-06 08:43:17,-1,-1,21,7,1,8.0
46,300,2024-01-06 08:43:17,2024-01-06 08:43:27,-1,2,22,8,1,10.0
47,300,2024-01-06 08:43:27,2024-01-06 08:43:46,0,0,23,0,1,19.0
48,305,2024-01-10 09:14:00,2024-01-10 09:14:15,0,0,0,0,1,15.0
49,305,2024-01-10 09:14:15,2024-01-10 09:14:55,1,0,1,1,1,40.0
50,305,2024-01-10 09:14:55,2024-01-10 09:15:35,1,0,1,1,1,40.0
51,305,2024-01-10 09:15:35,2024-01-10 09:16:31,1,0,2,1,1,56.0
52,305,2024-01-10 09:16:31,2024-01-10 09:16:50,0,0,23,0,1,19.0
53,305,2024-01-10 09:16:50,2024-01-10 09:17:04,1,0,3,1,1,14.0
54,305,2024-01-10 09:17:04,2024-01-10 09:17:47,1,0,4,1,1,43.0
55,305,2024-01-10 09:17:47,2024-01-10 09:18:44,1,0,5,1,1,57.0
56,305,2024-01-10 09:18:44,2024-01-10 09:19:22,1,0,6,1,1,38.0
57,305,2024-01-10 09:19:22,2024-01-10 09:20:00,1,0,6,1,1,38.0
58,305,2024-01-10 09:20:00,2024-01-10 09:20:02,3,1,7,2,1,2.0
59,305,2024-01-10 09:20:02,2024-01-10 09:20:34,4,0,8,3,1,32.0
60,305,2024-01-10 09:20:34,2024-01-10 09:21:06,4,0,8,3,1,32.0
61,305,2024-01-10 09:21:06,2024-01-10 09:22:07,3,0,9,3,1,61.0
62,305,2024-01-10 09:22:07,2024-01-10 09:22:27,4,0,10,3,1,20.0
63,305,2024-01-10 09:22:27,2024-01-10 09:23:10,4,0,11,3,1,43.0
64,305,2024-01-10 09:23:10,2024-01-10 09:23:53,4,0,11,3,1,43.0
65,305,2024-01-10 09:23:53,2024-01-10 09:24:38,3,1,12,4,1,45.0
66,305,2024-01-10 09:24:38,2024-01-10 09:24:47,5,1,13,4,1,9.0
67,305,2024-01-10 09:24:47,2024-01-10 09:25:17,6,0,14,5,1,30.0
68,305,2024-01-10 09:25:17,2024-01-10 09:26:38,6,0,15,5,1,81.0
69,305,2024-01-10 09:26:38,2024-01-10 09:26:55,6,0,16,5,1,17.0
70,305,2024-01-10 09:26:55,2024-01-10 09:27:12,6,0,16,5,1,17.0
71,305,2024-01-10 09:27:12,2024-01-10 09:27:37,2,1,17,6,1,25.0
72,305,2024-01-10 09:27:37,2024-01-10 09:28:11,8,1,18,6,1,34.0
73,305,2024-01-10 09:28:11,2024-01-10 09:29:13,3,1,19,6,1,62.0
74,305,2024-01-10 09:29:13,2024-01-10 09:29:18,5,1,20,6,1,5.0
75,305,2024-01-10 09:29:18,2024-01-10 09:29:26,-1,-1,21,7,1,8.0
76,299,2024-01-11 08:50:00,2024-01-11 08:50:15,0,0,0,0,1,15.0
77,299,2024-01-11 08:50:15,2024-01-11 08:50:55,1,0,1,1,1,40.0
78,299,2024-01-11 08:50:55,2024-01-11 08:51:51,1,0,2,1,1,56.0
79,299,2024-01-11 08:51:51,2024-01-11 08:52:05,1,0,3,1,1,14.0
80,299,2024-01-11 08:52:05,2024-01-11 08:52:48,1,0,4,1,1,43.0
81,299,2024-01-11 08:52:48,2024-01-11 08:53:45,1,0,5,1,1,57.0
