process_execution_id,order_id,start_time,end_time,part_id,process_type,process_id,resource_id,is_valid
0,299,2025-02-20 10:28:17,2025-02-20 10:28:32,0,0,0,0,1
1,298,2025-02-20 10:28:32,2025-02-20 10:28:47,0,0,0,0,1
2,299,2025-02-20 10:28:32,2025-02-20 10:29:12,1,0,1,1,1
3,298,2025-02-20 10:29:13,2025-02-20 10:29:53,1,0,1,1,1
4,299,2025-02-20 10:29:54,2025-02-20 10:30:50,2,0,2,1,1
5,298,2025-02-20 10:30:50,2025-02-20 10:31:46,2,0,2,1,1
6,299,2025-02-20 10:31:46,2025-02-20 10:32:00,2,0,3,1,1
7,298,2025-02-20 10:32:00,2025-02-20 10:32:14,2,0,3,1,1
8,299,2025-02-20 10:32:14,2025-02-20 10:32:57,2,0,4,1,1
9,298,2025-02-20 10:32:57,2025-02-20 10:33:40,2,0,4,1,1
10,299,2025-02-20 10:33:40,2025-02-20 10:34:37,2,0,5,1,1
11,298,2025-02-20 10:34:37,2025-02-20 10:35:34,2,0,5,1,1
12,299,2025-02-20 10:35:34,2025-02-20 10:36:12,2,0,6,1,1
13,299,2025-02-20 10:36:12,2025-02-20 10:36:14,3,1,7,2,1
14,298,2025-02-20 10:36:13,2025-02-20 10:36:51,2,0,6,1,1
15,299,2025-02-20 10:36:14,2025-02-20 10:36:46,1,0,8,3,1
16,298,2025-02-20 10:36:51,2025-02-20 10:36:53,3,1,7,2,1
17,298,2025-02-20 10:36:53,2025-02-20 10:37:25,1,0,8,3,1
18,299,2025-02-20 10:37:25,2025-02-20 10:38:26,3,0,9,3,1
19,298,2025-02-20 10:38:27,2025-02-20 10:39:28,3,0,9,3,1
20,299,2025-02-20 10:39:29,2025-02-20 10:39:49,4,0,10,3,1
21,298,2025-02-20 10:39:49,2025-02-20 10:40:09,4,0,10,3,1
22,299,2025-02-20 10:40:09,2025-02-20 10:40:52,5,0,11,3,1
23,298,2025-02-20 10:40:52,2025-02-20 10:41:35,5,0,11,3,1
24,299,2025-02-20 10:40:52,2025-02-20 10:41:37,3,1,12,4,1
